iter	Passed	Remaining
0	128	128211
1	143	71409
2	158	52686
3	169	42197
4	174	34667
5	179	29667
6	181	25787
7	186	23082
8	195	21515
9	200	19814
10	204	18416
11	210	17318
12	214	16262
13	219	15487
14	229	15096
15	240	14770
16	242	14028
17	252	13775
18	262	13533
19	278	13635
20	284	13269
21	288	12814
22	293	12455
23	300	12205
24	309	12055
25	314	11799
26	318	11477
27	320	11134
28	328	11004
29	342	11082
30	345	10793
31	348	10556
32	351	10307
33	357	10160
34	360	9950
35	365	9779
36	371	9676
37	379	9596
38	390	9612
39	389	9338
40	393	9200
41	396	9035
42	400	8921
43	406	8840
44	409	8684
45	415	8607
46	419	8510
47	422	8384
48	427	8306
49	432	8208
50	436	8122
51	441	8046
52	447	7990
53	449	7879
54	454	7808
55	456	7695
56	461	7642
57	468	7606
58	471	7523
59	475	7449
60	477	7351
61	488	7397
62	492	7331
63	503	7356
64	508	7309
65	512	7252
66	516	7190
67	520	7136
68	523	7057
69	527	7009
70	531	6949
71	535	6898
72	538	6835
73	542	6786
74	548	6759
75	553	6734
76	557	6678
77	562	6647
78	565	6590
79	569	6551
80	575	6526
81	578	6479
82	584	6455
83	588	6416
84	590	6354
85	596	6342
86	601	6311
87	604	6263
88	607	6220
89	609	6167
90	617	6165
91	622	6146
92	625	6103
93	630	6073
94	632	6027
95	636	5998
96	640	5959
97	645	5938
98	647	5894
99	650	5854
100	653	5816
101	657	5787
102	659	5745
103	663	5716
104	665	5675
105	668	5637
106	671	5601
107	674	5567
108	678	5549
109	682	5525
110	685	5490
111	688	5459
112	690	5421
113	693	5387
114	696	5359
115	699	5327
116	702	5298
117	704	5264
118	707	5240
119	710	5213
120	713	5180
121	714	5143
122	718	5123
123	722	5102
124	725	5081
125	730	5069
126	733	5042
127	738	5028
128	740	5002
129	744	4979
130	746	4953
131	749	4929
132	751	4901
133	754	4876
134	757	4852
135	760	4829
136	762	4805
137	766	4787
138	769	4768
139	772	4745
140	776	4727
141	778	4702
142	781	4682
143	786	4673
144	789	4657
145	792	4638
146	795	4616
147	797	4593
148	799	4566
149	804	4558
150	809	4551
151	812	4532
152	815	4514
153	820	4509
154	824	4492
155	825	4468
156	829	4452
157	832	4436
158	836	4423
159	839	4405
160	843	4393
161	845	4375
162	848	4356
163	851	4339
164	854	4322
165	857	4309
166	859	4288
167	863	4276
168	866	4259
169	869	4246
170	872	4229
171	875	4217
172	878	4198
173	880	4179
174	883	4166
175	886	4152
176	889	4136
177	892	4119
178	894	4104
179	898	4092
180	900	4074
181	907	4077
182	911	4070
183	921	4087
184	933	4113
185	938	4105
186	951	4138
187	966	4174
188	977	4195
189	982	4188
190	986	4179
191	995	4191
192	1005	4204
193	1014	4214
194	1022	4222
195	1027	4215
196	1036	4223
197	1040	4215
198	1044	4202
199	1050	4201
200	1054	4191
201	1061	4191
202	1065	4184
203	1068	4168
204	1074	4166
205	1077	4152
206	1080	4140
207	1084	4130
208	1088	4120
209	1091	4105
210	1094	4091
211	1097	4080
212	1101	4068
213	1105	4061
214	1108	4048
215	1111	4033
216	1114	4023
217	1118	4013
218	1121	3998
219	1123	3984
220	1126	3972
221	1129	3958
222	1131	3943
223	1134	3931
224	1137	3916
225	1139	3903
226	1142	3891
227	1146	3881
228	1149	3868
229	1152	3859
230	1155	3845
231	1157	3832
232	1160	3819
233	1163	3808
234	1167	3799
235	1170	3790
236	1174	3779
237	1176	3768
238	1179	3755
239	1182	3744
240	1185	3732
241	1188	3721
242	1190	3708
243	1192	3696
244	1195	3685
245	1201	3681
246	1204	3672
247	1207	3662
248	1210	3652
249	1214	3644
250	1217	3631
251	1219	3619
252	1221	3607
253	1225	3599
254	1228	3587
255	1230	3577
256	1233	3565
257	1236	3556
258	1240	3548
259	1243	3538
260	1247	3531
261	1250	3521
262	1253	3513
263	1256	3502
264	1258	3491
265	1261	3481
266	1264	3470
267	1267	3461
268	1269	3450
269	1272	3439
270	1275	3431
271	1278	3421
272	1281	3411
273	1284	3404
274	1287	3395
275	1291	3386
276	1293	3376
277	1296	3366
278	1298	3355
279	1302	3349
280	1305	3339
281	1307	3329
282	1311	3322
283	1315	3315
284	1319	3309
285	1321	3299
286	1325	3292
287	1328	3284
288	1331	3276
289	1334	3268
290	1338	3261
291	1343	3257
292	1346	3248
293	1349	3239
294	1351	3230
295	1355	3223
296	1359	3217
297	1361	3207
298	1364	3198
299	1366	3189
300	1370	3181
301	1372	3173
302	1375	3164
303	1378	3156
304	1381	3147
305	1383	3137
306	1386	3128
307	1388	3120
308	1390	3110
309	1393	3100
310	1395	3091
311	1398	3083
312	1400	3074
313	1404	3067
314	1406	3059
315	1409	3051
316	1411	3042
317	1415	3035
318	1418	3028
319	1422	3021
320	1426	3017
321	1430	3011
322	1433	3005
323	1437	3000
324	1440	2991
325	1443	2985
326	1446	2976
327	1448	2968
328	1451	2960
329	1454	2952
330	1456	2943
331	1458	2934
332	1461	2927
333	1464	2920
334	1467	2912
335	1470	2906
336	1472	2897
337	1475	2890
338	1478	2882
339	1481	2876
340	1484	2868
341	1487	2862
342	1490	2854
343	1493	2848
344	1496	2840
345	1499	2833
346	1501	2826
347	1504	2818
348	1506	2810
349	1509	2803
350	1512	2796
351	1516	2792
352	1519	2785
353	1522	2778
354	1525	2770
355	1528	2765
356	1531	2758
357	1533	2750
358	1536	2743
359	1539	2736
360	1542	2730
361	1544	2721
362	1547	2715
363	1550	2708
364	1552	2700
365	1555	2694
366	1558	2687
367	1560	2680
368	1564	2674
369	1566	2667
370	1569	2660
371	1572	2653
372	1575	2648
373	1578	2641
374	1581	2635
375	1583	2628
376	1586	2621
377	1589	2615
378	1592	2609
379	1595	2602
380	1598	2596
381	1601	2591
382	1605	2585
383	1607	2578
384	1609	2571
385	1612	2564
386	1614	2557
387	1617	2551
388	1621	2546
389	1624	2540
390	1627	2534
391	1629	2527
392	1631	2520
393	1634	2514
394	1637	2507
395	1639	2501
396	1643	2495
397	1645	2489
398	1648	2483
399	1652	2478
400	1655	2472
401	1658	2467
402	1661	2461
403	1664	2455
404	1667	2449
405	1670	2443
406	1672	2437
407	1676	2432
408	1678	2425
409	1681	2419
410	1684	2414
411	1687	2408
412	1690	2402
413	1692	2395
414	1696	2390
415	1698	2384
416	1701	2378
417	1704	2373
418	1706	2366
419	1710	2362
420	1713	2356
421	1717	2352
422	1720	2346
423	1723	2341
424	1726	2335
425	1729	2330
426	1731	2323
427	1734	2318
428	1737	2313
429	1740	2307
430	1742	2300
431	1745	2294
432	1747	22433433	1751	2284
434	1754	2278
435	1757	2273
436	1760	2267
437	1762	2261
438	1765	2256
439	1768	2250
440	1771	2245
441	1774	2239
442	1777	2234
443	1780	2229
444	1782	2223
445	1785	2217
446	1788	2212
447	1792	2209
448	1797	2205
449	1799	2199
450	1802	2194
451	1805	2188
452	1808	2184
453	1811	2178
454	1813	2172
455	1816	2166
456	1818	2160
457	1821	2155
458	1824	2150
459	1826	2144
460	1829	2139
461	1832	2134
462	1835	2129
463	1838	21464464	1841	21465465	1843	21466466	1846	21467467	1849	21468468	1851	20469469	1854	20470470	1857	20471471	1859	20472472	1862	20473473	1866	20474474	1868	20475475	1870	20476476	1873	20477	1872	2045
478	1876	2041
479	1879	2035
480	1882	2030
481	1885	2026
482	1889	2022
483	1891	2016
484	1894	2011
485	1896	2005
486	1898	2000
487487	1904	19488	1903	1989
489	1906	1984
490	1910	1980
491	1912	1974
492	1916	1970
493	1920	1966
494	1923	1962
495	1927	1958
496	1930	1953
497	1934	1949
498	1937	1944
499	1939	1939
500	1941	1934
501	1944	1929
502	1948	1925
503	1951	1920
504	1953	1915
505	1956	1910
506	1958	1904
507	1961	1899
508	1964	1894
509	1968	1891
510	1970	1885
511	1973	1880
512512	1979	18513	1978	1871
514514	1985	18515515	1987	18516516	1990	18517517	1993	18518518	1996	18519519	1999	18520	1999	1837
521	2002	1833
522522	2008	18523523	2012	18524524	2014	18525	2014	1815
526	2017	1811
527	2020	1806
528	2024	1802
529	2026	1797
530530	2032	17531531	2035	17532532	2039	17533533	2041	17534	2042	1775
535	2045	1770
536	2048	1766
537	2052	1762
538	2054	1757
539	2057	1752
540	2061	1749
541	2065	1745
542	2067	1740
543	2070	1735
544	2072	1730
545	2074	1725
546	2078	1721
547	2081	1716
548	2084	1712
549	2087	1707
550	2090	1703
551	2093	1699
552	2096	1694
553	2099	1690
554	2101	1685
555	2104	1680
556	2106	1675
557	2110	1671
558	2112	1666
559	2116	1662
560	2118	1657
561	2121	1653
562	2123	1648
563	2126	1643
564	2128	1639
565	2132	1635
566	2135	1630
567	2139	1626
568	2142	1622
569	2145	1618
570	2148	1613
571	2150	1609
572	2153	1604
573	2157	1600
574	2160	1596
575	2162	1592
576	2165	1587
577	2168	1582
578	2170	1578
579	2172	1573
580	2176	1569
581	2179	1565
582	2182	1560
583	2185	1556
584	2188	1552
585	2191	1548
586	2193	1543
587	2196	1538
588	2200	1535
589	2203	1531
590	2206	1526
591	2208	1522
592	2211	1518
593	2215	1513
594	2217	1509
595	2220	1505
596	2223	1500
597	2225	1496
598	2228	1492
599	2232	1488
600	2234	1483
601	2238	1479
602	2240	1475
603	2244	1471
604	2247	1467
605	2250	1462
606	2253	1458
607	2256	1454
608	2258	1450
609	2261	1445
610	2264	1441
611	2266	1437
612	2269	1432
613	2272	1428
614	2274	1424
615	2277	1419
616	2280	1415
617	2283	1411
618	2285	1407
619	2288	1402
620	2292	1399
621	2296	1395
622	2298	1391
623	2301	1386
624	2304	1382
625	2307	1378
626	2310	1374
627	2312	1370
628	2316	1366
629	2318	1361
630	2320	1357
631	2323	1352
632	2325	1348
633	2327	1343
634	2329	1339
635	2332	1334
636	2334	1330
637	2337	1326
638	2339	1321
639	2342	1317
640	2344	1313
641	2346	1308
642	2348	1304
643	2350	1299
644	2353	1295
645	2355	1290
646	2358	1286
647	2360	1282
648	2362	1277
649	2364	1273
650	2366	1268
651	2368	1264
652	2371	1259
653	2373	1255
654	2375	1251
655	2377	1246
656	2379	1242
657	2381	1238
658	2383	1233
659	2386	1229
660	2388	1224
661	2390	1220
662	2392	1216
663	2394	1211
664	2397	1207
665	2399	1203
666	2401	1199
667	2403	1194
668	2406	1190
669	2408	1186
670	2410	1181
671	2411	1177
672	2414	1172
673	2415	1168
674	2418	1164
675	2420	1160
676	2422	1155
677	2425	1151
678	2429	1148
679	2431	1144
680	2433	1140
681	2435	1135
682	2438	1131
683	2439	1127
684	2442	1123
685	2444	1118
686	2446	1114
687	2448	1110
688	2451	1106
689	2453	1102
690	2455	1097
691	2457	1093
692	2459	1089
693	2461	1085
694	2463	1081
695	2466	1077
696	2468	1072
697	2469	1068
698	2472	1064
699	2474	1060
700	2477	1056
701	2480	1053
702	2483	1049
703	2485	1045
704	2487	1041
705	2490	1036
706	2492	1033
707	2494	1028
708	2497	1024
709	2499	1020
710	2501	1016
711	2503	1012
712	2506	1008
713	2508	1004
714	2510	1000
715	2512	996
716	2515	992
717	2517	988
718	2520	984
719	2522	980
720	2524	977
721	2527	973
722	2529	968
723	2531	965
724	2533	961
725	2536	957
726	2538	953
727	2540	949
728	2542	945
729	2545	941
730	2547	937
731	2549	933
732	2552	929
733	2554	925
734	2556	921
735	2558	917
736	2560	913
737	2563	909
738	2565	905
739	2567	902
740	2569	898
741	2572	894
742	2574	890
743	2576	886
744	2578	882
745	2580	878
746	2582	874
747	2584	870
748	2586	866
749	2589	863
750	2591	859
751	2593	855
752	2595	851
753	2597	847
754	2599	843
755	2602	839
756	2604	836
757	2606	832
758	2609	828
759	2611	824
760	2613	820
761	2615	816
762	2617	813
763	2619	809
764	2621	805
765	2623	801
766	2626	797
767	2628	794
768	2630	790
769	2633	786
770	2635	782
771	2637	779
772	2640	775
773	2642	771
774	2645	767
775	2647	764
776	2649	760
777	2651	756
778	2653	752
779	2656	749
780	2658	745
781	2660	741
782	2662	737
783	2664	734
784	2667	730
785	2669	726
786	2671	722
787	2673	719
788	2675	715
789	2678	711
790	2680	708
791	2682	704
792	2685	700
793	2687	697
794	2689	693
795	2691	689
796	2694	686
797	2696	682
798	2698	678
799	2700	675
800	2703	671
801	2705	667
802	2707	664
803	2709	660
804	2712	657
805	2714	653
806	2716	649
807	2718	646
808	2720	642
809	2722	638
810	2725	635
811	2727	631
812	2729	627
813	2731	624
814	2734	620
815	2736	617
816	2738	613
817	2740	609
818	2743	606
819	2745	602
820	2747	599
821	2749	595
822	2752	591
823	2754	588
824	2756	584
825	2758	581
826	2760	577
827	2763	573
828	2765	570
829	2767	566
830	2769	563
831	2772	559
832	2774	556
833	2776	552
834	2779	549
835	2781	545
836	2783	542
837	2786	538
838	2788	535
839	2790	531
840	2793	528
841	2795	524
842	2797	521
843	2800	517
844	2802	514
845	2804	510
846	2806	506
847	2809	503
848	2811	500
849	2813	496
850	2816	493
851	2818	489
852	2820	486
853	2822	482
854	2825	479
855	2827	475
856	2829	472
857	2832	468
858	2834	465
859	2836	461
860	2838	458
861	2840	454
862	2842	451
863	2844	447
864	2847	444
865	2849	440
866	2852	437
867	2854	434
868	2856	430
869	2858	427
870	2860	423
871	2863	420
872	2865	416
873	2867	413
874	2869	409
875	2872	406
876	2874	403
877	2876	399
878	2879	396
879	2881	392
880	2883	389
881	2886	386
882	2888	382
883	2890	379
884	2892	375
885	2894	372
886	2896	369
887	2899	365
888	2901	362
889	2903	358
890	2905	355
891	2907	352
892	2909	348
893	2911	345
894	2913	341
895	2915	338
896	2917	335
897	2919	331
898	2922	328
899	2924	324
900	2927	321
901	2929	318
902	2931	314
903	2934	311
904	2936	308
905	2938	304
906	2940	301
907	2942	298
908	2944	294
909	2947	291
910	2949	288
911	2951	284
912	2953	281
913	2956	278
914	2958	274
915	2960	271
916	2963	268
917	2965	264
918	2968	261
919	2971	258
920	2974	255
921	2976	251
922	2980	248
923	2982	245
924	2984	241
925	2986	238
926	2988	235
927	2991	232
928	2993	228
929	2995	225
930	2997	222
931	3000	218
932	3001	215
933	3004	212
934	3006	209
935	3009	205
936	3012	202
937	3016	199
938	3019	196
939	3021	192
940	3024	189
941	3026	186
942	3028	183
943	3030	179
944	3032	176
945	3034	173
946	3036	169
947	3039	166
948	3041	163
949	3043	160
950	3046	156
951	3048	153
952	3050	150
953	3053	147
954	3055	143
955	3057	140
956	3059	137
957	3061	134
958	3063	130
959	3066	127
960	3068	124
961	3070	121
962	3073	118
963	3075	114
964	3077	111
965	3080	108
966	3082	105
967	3084	101
968	3086	98
969	3089	95
970	3091	92
971	3093	89
972	3095	85
973	3098	82
974	3100	79
975	3102	76
976	3104	73
977	3106	69
978	3109	66
979	3111	63
980	3113	60
981	3115	57
982	3118	53
983	3120	50
984	3122	47
985	3125	44
986	3127	41
987	3129	38
988	3132	34
989	3134	31
990	3136	28
991	3139	25
992	3141	22
993	3144	18
994	3148	15
995	3154	12
996	3156	9
997	3158	6
998	3160	3
999	3163	0
	0
